,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,22,15358.4,/76561198801631622,0.9669689929037083,578.988,5,0.9628132066755561,557.896,7,0.9619862948067557,555.444,1,0.9664534745999956,552.242,8,0.9614597976540589,551.316,6,0.9635633880187844,548.86,2,0.9586713367431704,548.744,14,0.9621636798220823,548.539,2,0.9693156856522361,547.925,10,0.9656226472383419,546.606,18,0.9639018504114689,0.920555393362198,11.142
1,23,15288.3,/76561198171842815,0.9625161206474252,569.232,6,0.9634015515820256,560.453,4,0.9647741897003801,560.442,9,0.9668979032053628,553.328,7,0.9722580570180026,553.193,9,0.9802610472756522,552.756,4,0.9636709720647595,552.633,7,0.9593206147957658,550.168,4,0.964238874351644,547.446,7,0.9698815913709736,545.886,14,0.9667220922011992,0.9438330423614139,10.656
2,32,14972,/76561198312915350,0.9664612088473848,554.38,11,0.9653657839457955,541.95,10,0.9621712223237193,540.366,20,0.9613883643271123,539.747,20,0.9648666652207994,539.724,20,0.9686401863268284,539.202,7,0.9691191399358579,539.149,18,0.9683142399030913,538.962,13,0.9628328581053033,538.012,21,0.9668513154626079,537.301,12,0.9656010984398499,0.9401278472639639,10.614
3,52,14534.3,/76561198279631500,0.9653287096850365,537.043,6,0.9675357135915725,536.199,3,0.9800887898341032,533.482,8,0.9759187995316793,530.461,10,0.9662254752767034,526.95,7,0.9647124651408466,523.882,3,0.9680328877623064,522.661,6,0.9715051410333241,521.053,2,0.9680551731512049,520.204,7,0.9664994067566228,520.136,12,0.9693902561763398,0.9670611292648039,9.690000000000001
4,62,14341.5,/76561198983627346,0.9641205977215198,534.323,22,0.9581942908373414,522.2,19,0.9637732703155149,520.239,22,0.9620467221475039,517.195,19,0.9588757251325053,517.17,30,0.9575152908965041,515.241,17,0.9606710538160145,512.018,41,0.9573619139623212,512.017,23,0.9597872102882559,511.497,35,0.9590581638277746,511.318,31,0.9601404238945257,0.9348376003638917,10.975
5,76,14098.9,/76561199219573794,0.9543551241164886,514.191,27,0.9530599150206049,511.576,25,0.9583651464434283,509.905,33,0.9617501521222489,508.799,33,0.9605106304116168,508.012,16,0.9656619340733704,507.367,19,0.9710130468863766,506.966,9,0.9646283055695567,506.764,21,0.9614496149035986,506.18,28,0.956130372736717,505.328,42,0.9606924242284005,0.9623443763237143,10.688
6,84,14005.3,/76561198331589800,0.962703249255322,544.854,5,0.9596698879867833,538.995,16,0.9661545725446876,519.632,16,0.9562173009584874,516.233,11,0.9644525098609715,513.933,4,0.9591341010926996,505.733,15,0.9545944416814576,505.679,43,0.9644011749537371,504.217,24,0.9646373628996646,502.82,22,0.9636329912969287,501.459,7,0.961559759253074,0.9589592074161105,10.725
7,97,13886.9,/76561198375965509,0.9558218162405837,512.805,33,0.9468256916317961,512.265,40,0.9630250631281349,506.121,22,0.9541170306745651,505.25,40,0.9629906005596613,504.901,17,0.9529716923651522,501.736,38,0.9523757385975862,499.264,36,0.950954842192608,497.436,57,0.9555642217934983,497.382,43,0.9592265969793385,495.163,51,0.9553873294162925,0.9547656604223042,11.270000000000001
8,100,13866.1,/76561198154403344,0.9618458354375865,517.856,30,0.9615302211846223,515.391,35,0.9539808251772022,512.346,31,0.9569817964956124,505.598,41,0.9478630444581946,504.706,20,0.9436456353247604,504.327,43,0.9542058188254441,502.484,36,0.959238900322893,502.113,43,0.9508394633494807,501.539,35,0.9471610491121479,500.897,40,0.9537292589687943,0.9401475940194237,11.508000000000001
9,113,13701.6,/76561198043191643,0.9576348028615611,506.391,25,0.9527334861805018,506.2,12,0.9555183417102718,497.102,44,0.9521612929132233,495.759,51,0.9519565785140859,493.785,31,0.9497352995311199,491.528,30,0.9521635581180544,489.624,43,0.9488346146540434,489.286,75,0.9468771803919224,488.045,58,0.950526606855882,486.901,26,0.9518141761730667,0.9508192902012977,11.506
