,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,37,14887.6,/2429129807113296,0.961545582692673,561.58,9,0.9603213523912046,557.118,3,0.9595503367985665,547.449,4,0.9608910100516957,545.957,11,0.9586613862104435,544.981,5,0.958634908487179,544.811,6,0.9598618669379357,540.206,15,0.9618769402692671,539.118,9,0.957272546438744,536.017,15,0.9556068331272655,530.165,12,0.9594222763404975,0.943223619816353,11.667999999999997
1,57,14459.6,/1477469542377599,0.9649239155734415,533.414,10,0.9627820191955956,522.497,8,0.9666559158802986,521.53,3,0.962230590217921,519.006,14,0.9594339324102809,517.315,19,0.9656915664094888,517.017,7,0.9518297032958001,514.612,2,0.9641036581208612,513.131,11,0.9562047579080835,512.968,18,0.9581181445751289,512.541,15,0.9611974203586902,0.9575131370669177,10.824000000000002
2,130,13553.7,/76561198005985428,0.953741267437163,495.001,4,0.9516297177297532,493.179,54,0.9466009360111013,490.934,40,0.9482884158838999,487.255,40,0.9393912807265893,486.763,39,0.9519239470202777,485.471,24,0.952264033914972,482.646,38,0.9496575670607345,482.473,84,0.9465164405610486,482.433,98,0.9540349244883154,480.629,12,0.9494048530833854,0.9585430778047006,11.545000000000002
3,195,13051.9,/76561198325013013,0.9575764533893603,482.31,57,0.9585145736211441,476.664,47,0.9549377188210515,476.294,55,0.9576101128053965,475.657,53,0.947916328261772,469.936,89,0.9672258146573279,469.081,14,0.9561572951921625,468.715,61,0.9590217041141171,467.462,42,0.9661685654001902,466.857,27,0.9539092812743536,466.046,35,0.9579037847536875,0.9363062878529915,10.263000000000002
4,307,12551,/76561198825880947,0.9521200039456872,480.384,69,0.9477174939657886,476.845,103,0.9457364993288385,472.857,97,0.9476142884563199,463.518,71,0.9470948310094479,463.453,69,0.9533468039818247,461.782,30,0.9556207941494029,458.516,10,0.9555017778800543,456.066,39,0.9476047710148128,449.538,106,0.9307247472671981,449.263,54,0.9483082010999375,0.9311517022828195,11.052
5,328,12469.2,/3737447149647733,0.9461534565712839,455.852,185,0.9540306372594886,451.256,110,0.9523237014827818,450.316,109,0.9251544377065198,449.505,168,0.9481223584550362,448.769,110,0.9502044601829602,448.408,161,0.9345348755835924,448.357,220,0.9528978390904539,447.642,87,0.9463564393024149,444.886,204,0.9456707149725865,444.245,33,0.9455448920607118,0.9320090802987328,10.93
6,331,12454.3,/76561198373858287,0.9567364824178933,456.671,31,0.9363014932863584,456.506,126,0.9467812634949995,451.001,97,0.9422645420211027,448.98,138,0.9595060252962853,448.189,59,0.9364167243495852,446.591,186,0.9533415979392923,446.091,49,0.9487352493406428,444.69,86,0.9468433172991365,443.322,31,0.9466751993446904,442.867,93,0.9473601894789987,0.9655014730455007,10.747000000000002
7,338,12433.6,/2706482852701803,0.9461711719987214,467.422,88,0.9434430624590859,462.828,71,0.9478001085228118,450.072,30,0.9336336495596644,445.534,93,0.9356457491194591,444.533,198,0.9395454894827189,442.59,69,0.9377385161477221,442.195,170,0.9371161598106532,440.68,139,0.9435575687406563,440.082,156,0.9509554417044412,438.767,180,0.9415606917545933,0.9456975459075362,11.187999999999997
8,443,12004.5,/76561198023179088,0.9421875657298451,462.524,125,0.9388730967709554,451.462,170,0.9366488935025716,443.219,45,0.9504223531458971,437.296,48,0.9380242659760185,437.075,211,0.9428870448560847,436.627,149,0.9449135933235958,433.191,39,0.9393370894015095,432.979,54,0.937774210330732,431.739,139,0.9440038222646918,430.752,71,0.9415071935301903,0.9188078168648542,11.001000000000001
9,544,11664.9,/76561198073124986,0.942537995147838,434.063,18,0.9507110253387168,431.767,58,0.9515908574360405,426.126,203,0.9330701345892242,424.257,271,0.9264567645810308,420.868,327,0.947740800913477,419.999,196,0.9382165971037023,418.181,156,0.9435727856097782,417.449,58,0.9484628285299601,417.254,171,0.9479100382647629,414.61,40,0.943026982751453,0.9161245591735979,10.469
10,560,11615.4,/76561198954262813,0.9387230572582185,427.095,204,0.9338412586565669,422.818,397,0.9276968942033204,419.357,141,0.9206604974977426,416.236,177,0.9475685726512234,414.994,173,0.938148411059696,414.684,230,0.9320506006165621,414.448,85,0.9365796130816969,414.328,81,0.9406593787581664,413.835,189,0.9383052788329456,413.337,154,0.9354233562616139,0.9011170076736863,10.835
11,575,11557.8,/2985005531524930,0.9324382416747479,442.675,235,0.9316631419535196,433.904,257,0.9442728973969314,417.24,48,0.9439526096606811,416.004,105,0.9199941154475632,415.284,230,0.9270964600157147,413.994,176,0.9434680439891049,413.939,107,0.9475074429039815,413.18,296,0.9460311019346215,412.754,255,0.9443695352615498,411.387,255,0.9380793590238415,0.9326890939197641,10.717
