,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,40,14784.2,/76561198180044686,0.966611972200535,555.295,4,0.9598288462115229,548.299,12,0.9669305027083969,543.284,2,0.9592607089284624,542.798,2,0.9610745990756852,540.225,5,0.9683616393038255,538.853,6,0.969851719257758,534.152,1,0.9643052296004884,532.98,15,0.9636806409736057,531.138,25,0.9586032568771758,530.286,21,0.9638509115137456,0.9523955234054998,10.866
1,60,14398,/76561198033166451,0.9580491573194844,528.77,22,0.9666494334415269,528.204,4,0.9596075992677451,523.511,11,0.9552580971485194,519.909,10,0.9557085078004924,516.107,27,0.9536311624105417,515.424,19,0.9560716524805414,515.316,13,0.9523566480179675,512.965,19,0.956247653552547,512.787,4,0.9618447816979089,511.401,14,0.9575424693137276,0.9516445724996813,11.345
2,64,14327.2,/3067073569973129,0.9592329137141997,534.244,19,0.9585967944869153,532.225,19,0.9675520947478118,531.615,3,0.9654872380547661,520.629,12,0.964534988326747,520.132,11,0.9660708320156078,518.883,18,0.964380142690233,516.052,9,0.9632398335041988,514.202,5,0.9645552330544648,512.77,9,0.9597999014029067,511.573,15,0.963344997199785,0.9649650947895806,10.586
3,115,13704.9,/76561198096273599,0.9661619715755337,519.185,11,0.9681569486177192,505.683,22,0.9631082000349848,500.323,9,0.9626029054791368,499.285,16,0.9633020494158208,497.721,28,0.9633708641114758,495.236,25,0.951646005101133,491.424,69,0.9544725886409817,491.282,30,0.9613715439164963,491.13,33,0.9550660644252089,490.795,36,0.9609259141318491,0.9306822040286974,10.426
4,138,13479.5,/76561198082797048,0.9642687100322918,501.821,17,0.9532007327324111,500.803,42,0.9638456016544287,493.499,52,0.9664617362394703,491.41,26,0.9513509035707924,485.729,49,0.96340054661275,484.603,16,0.9630586393563233,483.316,19,0.9613680395596876,480.702,45,0.9492068491867139,479.07,52,0.9466078343351618,477.752,76,0.9582769593280028,0.9426186538994533,10.52
5,139,13476.6,/76561198034589391,0.9591224412022593,499.331,46,0.9565220831992899,489.724,44,0.947585875570502,485.179,43,0.9527683954976827,481.703,43,0.9513579300217797,481.068,77,0.9493946264115009,479.964,45,0.9524630489537007,479.409,56,0.9516325198363259,479.375,71,0.9501144551530539,478.96,49,0.9523278320323252,477.483,92,0.952328920787842,0.9018910990362672,11.189
6,169,13267,/76561198848329343,0.9475123516711419,492.43,42,0.947949684030062,491.245,51,0.9414940350032338,485.169,36,0.9623023382982697,483.142,68,0.9441744769797534,479.98,58,0.9441726835327107,479.162,35,0.9623760374772877,478.781,23,0.9430370724577533,477.796,36,0.962126390745135,477.122,27,0.945986480731692,475.523,88,0.950113155092704,0.9509982540668389,11.251
7,188,13125.7,/76561198170634587,0.9443642216601518,476.07,123,0.9547317879085137,473.263,61,0.9580958939485237,472.919,63,0.9449492973395965,472.491,100,0.9475725586881198,471.445,73,0.932499501972561,471.228,143,0.9471307192512154,470.59,55,0.9547106054744554,469.243,99,0.9532007643396525,468.9,106,0.9583011457313543,468.093,47,0.9495556496314144,0.9611089884013402,11.108
8,190,13119.7,/76561198301082541,0.9644605350884055,492.131,26,0.9434928496558149,477.945,59,0.9539047226323327,472.099,98,0.9623764861755169,471.015,73,0.9337991216274357,470.779,60,0.9523003436861623,470.462,100,0.9470471933293217,468.696,78,0.9600385253261263,467.949,84,0.9413346396472952,467.113,152,0.9554162781532073,464.92,78,0.9514170695321619,0.9557285341576696,10.886000000000001
9,199,13031.3,/3140141062711551,0.9465164405610486,482.433,98,0.9434158518826711,468.412,100,0.9432071646628547,467.398,114,0.9309609229984417,466.791,159,0.9440682219494724,466.26,130,0.944669033725606,465.964,72,0.9628418796190078,465.26,44,0.9422158654158715,462.606,124,0.9521734536852018,462.563,105,0.9469365332556738,461.606,76,0.945700536775585,0.9492168536551696,11.317
10,204,13007.3,/76561198326089365,0.9632165968159349,484.365,18,0.9637977049478091,483.77,12,0.9622685836316871,482.916,69,0.9592934688867836,479.941,71,0.9636387313965173,476.794,31,0.9549773332775383,476.473,53,0.9556273482525547,474.15,38,0.9681408638885716,472.623,27,0.9552374063826286,468.774,84,0.9665145120467039,467.572,40,0.9612712549526728,0.9389882874157348,9.949
11,214,12971.3,/76561198222784832,0.964097238265706,490.216,17,0.9621294760250948,485.853,37,0.9529258978988879,485.475,40,0.96520526710054,484.872,22,0.9607069965308551,476.23,19,0.9511513234096911,475.663,48,0.9689800996983848,473.844,23,0.9583938950790952,472.295,32,0.9652386499019004,471.006,13,0.9610442239035203,467.073,45,0.9609873067813677,0.948860715695347,10.008
12,218,12949,/76561198802040781,0.9447805092624991,477.301,118,0.9458048979785949,474.992,89,0.957164510539923,473.115,57,0.9484739097025456,470.277,111,0.9460866731141885,468.002,92,0.9436715918404205,463.422,80,0.9444574779120065,462.503,125,0.9447700088303765,461.768,102,0.9383706402386378,461.497,51,0.9426957611065947,459.862,72,0.9456275980525787,0.9067803257518424,11.365
13,261,12747.2,/76561198948590641,0.9484779119707856,477.314,52,0.9327888233333768,472.063,139,0.9552279970419729,471.868,92,0.9525857932994777,471.774,97,0.9466641159987105,469.663,90,0.9474132997092527,469.454,59,0.9538714230619393,468.063,52,0.9530555790242533,466.123,56,0.9489583493894987,463.705,134,0.9423787205959665,462.187,152,0.9481422013425235,0.9478443183387144,11.217
14,362,12323.1,/76561198105228823,0.9412924864689287,462.199,119,0.9448038964368111,454.521,88,0.9546724561503742,446.106,108,0.9416622240420655,444.078,68,0.9467805875192357,443.978,190,0.9315510002677709,443.537,165,0.938370757733689,443.068,103,0.9378957984683417,442.998,75,0.9435861264556263,440.16,155,0.9340293045321807,438.582,146,0.9414644638075025,0.9506273032174205,11.145999999999999
15,389,12221.5,/76561199003586234,0.9706165392217856,487.266,16,0.9621743232768579,477.441,26,0.9666840607540684,460.121,13,0.9686400963485643,457.812,11,0.9695405156567293,456.469,14,0.9439859153997365,453.281,99,0.973936477537646,451.11,38,0.9713274336283186,450.961,27,0.9715240886280727,446.367,26,0.9596152284146158,444.557,44,0.9658044678866397,0.9537410969544763,8.879000000000001
16,419,12113.8,/76561198236994468,0.9633204265095294,468.329,41,0.9427074402210155,458.285,112,0.9590388746199946,450.378,100,0.9335301563748867,438.887,233,0.9636727255981632,438.241,62,0.9525765964153632,436.741,48,0.9457180500658762,436.579,107,0.9550641773996117,433.695,25,0.9623879078510256,433.645,25,0.9521935981463733,432.958,114,0.9530209953201838,0.9202493205735194,10.053
17,447,11987.2,/76561198305748823,0.9431843989364996,451.174,151,0.9444150100988625,446.914,39,0.9581130198961362,445.461,110,0.9512528866794991,444.324,108,0.9447613647660038,440.076,225,0.9412321449229994,439.28,217,0.9410021421996827,435.852,95,0.9482888428626833,435.596,142,0.9460894057856205,434.698,207,0.9378199615149021,432.638,212,0.9456159177662891,0.9300122393475908,10.709999999999999
18,468,11907.8,/76561198089663258,0.934712138842,445.768,115,0.9347949303824695,444.072,169,0.9218433903846261,442.637,254,0.9346952869774934,437.284,104,0.9231356596725977,437.069,188,0.9286789067639495,436.882,205,0.9319241204282941,433.776,90,0.928556489747768,432.511,277,0.920467187424739,426.687,210,0.9321901148578372,426.136,143,0.9290998225481776,0.9223496011786777,11.763
19,485,11830.3,/76561198117675143,0.9591453324734666,459.311,15,0.9455373394137153,457.658,86,0.9488963958490291,444.287,33,0.9559016965623909,438.189,14,0.9284039042202092,435.829,75,0.9647201503850585,432.185,74,0.9282253791476301,431.695,282,0.9532290782759131,428.651,80,0.9447964459981065,426.922,42,0.9484609249100646,424.342,144,0.9477316647235584,0.943024330586516,10.408
20,520,11716.8,/76561199075037611,0.9395774833868148,445.042,195,0.9355183761377924,435.603,276,0.9406312884493762,433.237,273,0.932221136022479,432.64,242,0.9364525649513368,429.132,226,0.9360679093221179,428.532,357,0.9407023228821256,427.955,234,0.9386014318447599,427.574,321,0.9358704361127034,427.127,276,0.9391995726025675,422.779,262,0.9374842521712072,0.8975344853993461,11.051000000000002
21,527,11701.2,/76561198174372261,0.9400523484992563,452.962,95,0.9287554561311655,449.285,93,0.9428822636732972,443.871,199,0.9345249478713156,438.75,216,0.9421966358280067,437.548,248,0.9454185669093488,435.364,197,0.9443363148899683,435.305,105,0.9380620300131018,433.65,329,0.9351092246331736,433.378,231,0.9366885637554907,433.231,260,0.9388026352204124,0.8846334926086334,11.177999999999999
22,539,11674.4,/76561198391385545,0.9323169263259294,445.628,156,0.9304821841974953,440.738,201,0.9335368481303723,435.749,146,0.9305045116339559,434.444,95,0.9320410286238409,434.073,271,0.9197281928371435,428.385,218,0.926316694492487,426.993,303,0.9321845131883469,426.877,148,0.9247550091943512,424.23,198,0.93063721811728,423.575,255,0.9292503126741203,0.9358773448600016,11.639
23,541,11671.5,/76561198334254267,0.9337925296947917,449.657,145,0.9322515950025312,444.059,109,0.943683394206234,431.109,121,0.9308273764383471,430.855,94,0.9567829090410493,429.81,50,0.9372443693468699,426.488,92,0.9232115629257378,424.36,117,0.9236525832909057,423.664,155,0.9473409571935841,420.635,54,0.9542000054246115,417.762,74,0.9382987282564663,0.9078925313323768,10.944
24,554,11631.5,/76561198260839548,0.9348751707991195,433.919,203,0.9167648137563557,430.171,295,0.9341788248924141,426.743,299,0.9351602497054841,426.203,382,0.9257076589320883,425.492,310,0.9312781041627988,422.626,325,0.9314755590518102,421.26,267,0.9275599211485909,420.499,310,0.9388530766010883,419.952,68,0.9261405765302262,417.08,223,0.9301993955579976,0.886702043677149,11.37
