,name,pp,prediction,diff,sus
1406,/76561199203219163,1303.720000,2115.283203,811.563203,0
1352,/76561198369609375,1370.450000,2180.125977,809.675977,0
1127,/76561198021612120,1893.650000,2702.734131,809.084131,0
1072,/76561198144890509,2046.030000,2849.085693,803.055693,0
875,/76561198123647969,2719.250000,3521.849365,802.599365,0
749,/76561199157079055,3163.320000,3964.611816,801.291816,0
1522,/76561199085413494,1143.020000,1927.531128,784.511128,0
1425,/76561198039224641,1282.050000,2065.088135,783.038135,0
815,/76561198065434226,2940.330000,3718.300537,777.970537,0
1456,/76561198985276754,1222.620000,2000.072876,777.452876,0
41,/76561198862644042,11531.800000,12304.298828,772.498828,0
449,/76561198450808762,4809.590000,5579.207031,769.617031,0
811,/76561199186527011,2945.440000,3711.132324,765.692324,0
788,/76561198375386230,3020.550000,3781.506104,760.956104,0
814,/76561198096115075,2941.250000,3700.765381,759.515381,0
1318,/76561197972495534,1417.110000,2173.732910,756.622910,0
446,/2891504434233489,4817.170000,5566.311523,749.141523,0
1448,/76561197998456680,1239.040000,1983.606934,744.566934,0
857,/76561198079585532,2789.970000,3517.900635,727.930635,0
1435,/76561198030206899,1261.260000,1986.621094,725.361094,0
825,/76561198218874185,2914.940000,3640.003662,725.063662,0
843,/76561198095807469,2840.510000,3564.909424,724.399424,0
1069,/76561198118916365,2048.190000,2772.431152,724.241152,0
757,/4576069205775074,3087.180000,3798.932617,711.752617,0
632,/76561198073128975,3801.970000,4512.229980,710.259980,0
624,/76561199111435987,3849.210000,4555.193848,705.983848,0
1111,/76561199013800705,1920.590000,2618.933594,698.343594,0
745,/76561198436342012,3187.130000,3878.382324,691.252324,0
1311,/76561198125736856,1429.900000,2105.083252,675.183252,0
1235,/76561198236680626,1586.170000,2258.595459,672.425459,0
727,/76561198038336411,3300.990000,3973.073730,672.083730,0
423,/76561199086621834,5032.000000,5695.090820,663.090820,0
1244,/76561198160454985,1573.420000,2235.456543,662.036543,0
850,/76561198125723524,2810.050000,3469.276123,659.226123,0
556,/76561198181150409,4197.230000,4852.224121,654.994121,0
1148,/76561198807665389,1826.760000,2474.016113,647.256113,0
720,/76561198083236586,3329.050000,3972.598877,643.548877,0
1720,/76561198984457986,911.141000,1544.167236,633.026236,0
1188,/2357280884296207,1694.880000,2321.932129,627.052129,0
1281,/76561197962440661,1502.640000,2128.987061,626.347061,0
1140,/76561198034739248,1846.460000,2472.727539,626.267539,0
1215,/3546545755366497,1627.200000,2250.002686,622.802686,0
678,/76561198148737978,3523.930000,4140.678223,616.748223,0
1011,/76561198020093255,2228.080000,2840.226074,612.146074,0
405,/76561198321888209,5197.760000,5809.487793,611.727793,0
340,/76561198196952782,5787.480000,6397.444824,609.964824,0
973,/76561198005403478,2332.710000,2941.329834,608.619834,0
527,/76561199008956044,4366.420000,4972.177734,605.757734,0
571,/76561198373643679,4087.550000,4690.776367,603.226367,0
1136,/76561198017333567,1862.760000,2454.237793,591.477793,0
562,/76561198328119153,4162.280000,4753.376953,591.096953,0
1155,/76561198191243077,1807.640000,2392.741455,585.101455,0
1255,/76561198389444675,1559.590000,2143.619873,584.029873,0
755,/3116008435184043,3106.760000,3690.080078,583.320078,0
1563,/76561198002910047,1077.910000,1659.261230,581.351230,0
1085,/3282508741798569,2005.600000,2586.093018,580.493018,0
886,/76561198288033449,2674.220000,3248.256348,574.036348,0
1433,/76561198005162240,1263.560000,1836.097290,572.537290,0
770,/76561198399876743,3056.600000,3628.417725,571.817725,0
1135,/76561198041918746,1863.010000,2433.303467,570.293467,0
1803,/76561198074784880,839.667000,1407.109985,567.442985,0
648,/76561198084676493,3706.260000,4272.354004,566.094004,0
1305,/76561199181320428,1439.290000,2000.737061,561.447061,0
1211,/76561198930404628,1637.440000,2196.568115,559.128115,0
1457,/4656088134467760,1222.410000,1773.223267,550.813267,0
603,/76561198050079673,3952.930000,4503.537598,550.607598,0
970,/76561198069198349,2339.610000,2885.196289,545.586289,0
506,/76561198355561824,4454.010000,4997.049805,543.039805,0
1000,/76561198063540140,2259.900000,2798.650635,538.750635,0
1041,/3757981337638658,2129.000000,2665.959961,536.959961,0
1384,/76561198005106978,1329.180000,1865.406372,536.226372,0
173,/76561198195424137,7953.550000,8489.719727,536.169727,0
761,/76561198138446039,3084.530000,3619.534424,535.004424,0
633,/76561198864228868,3798.680000,4332.603027,533.923027,0
734,/76561199010503499,3251.880000,3781.338623,529.458623,0
1338,/76561198080872105,1389.090000,1918.273193,529.183193,0
876,/76561198936865031,2718.930000,3245.531006,526.601006,0
577,/76561198254283360,4066.770000,4590.125977,523.355977,0
507,/76561197972346711,4451.950000,4969.800781,517.850781,0
573,/76561198448902902,4080.780000,4597.305664,516.525664,0
1519,/76561197985790197,1148.520000,1659.996216,511.476216,0
1222,/76561198061891931,1614.150000,2121.777344,507.627344,0
1594,/76561198040083118,1040.060000,1545.110474,505.050474,0
1202,/76561199277928534,1668.150000,2173.172607,505.022607,0
1758,/76561197999233147,873.191000,1372.017578,498.826578,0
1277,/76561198290888340,1508.090000,2004.519043,496.429043,0
1262,/76561198055568232,1547.450000,2041.524902,494.074902,0
1413,/76561198078818421,1293.790000,1786.443359,492.653359,0
1409,/76561198208361048,1300.010000,1789.888306,489.878306,0
686,/76561198075030305,3476.040000,3965.267822,489.227822,0
1294,/76561199017291254,1476.000000,1955.601074,479.601074,0
486,/76561198168940108,4576.520000,5045.909668,469.389668,0
1567,/76561198022181512,1071.780000,1536.801758,465.021758,0
1719,/76561197987994719,911.553000,1374.026855,462.473855,0
699,/76561198193188637,3448.470000,3909.183838,460.713838,0
1423,/76561197978491443,1284.140000,1742.660034,458.520034,0
1466,/76561198088205041,1215.110000,1673.519653,458.409653,0
1319,/3260968220585637,1414.870000,1871.457520,456.587520,0
680,/76561199060605106,3510.960000,3963.962646,453.002646,0
1398,/76561199058712844,1314.280000,1765.308594,451.028594,0
1597,/5018361671576342,1037.220000,1487.962158,450.742158,0
725,/76561198798239435,3306.790000,3756.050293,449.260293,0
1381,/76561198038216358,1332.110000,1776.475342,444.365342,0
906,/76561198858662511,2583.400000,3026.984863,443.584863,0
858,/76561198072126917,2783.230000,3226.562012,443.332012,0
790,/76561198144265294,3011.150000,3454.211670,443.061670,0
1171,/76561197980329206,1742.280000,2185.174316,442.894316,0
1175,/76561199076993085,1735.520000,2177.237549,441.717549,0
1087,/76561198089206758,1991.550000,2432.865967,441.315967,0
893,/76561198227172284,2635.150000,3074.690430,439.540430,0
1411,/76561198307288046,1296.930000,1735.523560,438.593560,0
1040,/76561198236346470,2129.530000,2566.237305,436.707305,0
1674,/76561198366191808,949.133000,1385.573486,436.440486,0
165,/76561198047554191,8076.650000,8507.196289,430.546289,0
1047,/76561198066935634,2112.770000,2537.920898,425.150898,0
1395,/3448088618634529,1318.030000,1742.895264,424.865264,0
940,/76561198013110423,2431.730000,2853.804443,422.074443,0
7,/76561198157707841,13929.400000,14350.214844,420.814844,0
583,/2346588865439297,4034.640000,4453.862793,419.222793,0
880,/76561198071273105,2684.810000,3097.337402,412.527402,0
1285,/76561198019064466,1498.320000,1904.479614,406.159614,0
1025,/76561197962469530,2184.990000,2589.102295,404.112295,0
1555,/76561198123811149,1089.960000,1493.568604,403.608604,0
1112,/76561199199998739,1918.310000,2321.442139,403.132139,0
1375,/76561198360504339,1336.430000,1737.996094,401.566094,0
1005,/76561198809142870,2241.540000,2642.984863,401.444863,0
88,/76561198435017433,10098.500000,10499.211914,400.711914,0
1376,/76561197995189063,1336.240000,1736.698730,400.458730,0
1094,/1697002883682040,1969.890000,2368.609863,398.719863,0
767,/76561198385987454,3065.380000,3459.265869,393.885869,0
1066,/76561198799151698,2052.410000,2444.079102,391.669102,0
1309,/76561198071299501,1430.890000,1821.629272,390.739272,0
1390,/76561198012457664,1321.310000,1710.172363,388.862363,0
1323,/76561198298567703,1409.840000,1797.822632,387.982632,0
470,/76561199276455488,4689.670000,5075.418945,385.748945,0
1061,/76561198365790893,2063.360000,2448.144287,384.784287,0
604,/76561198068014861,3952.820000,4335.033691,382.213691,0
982,/76561198314171277,2306.940000,2685.542969,378.602969,0
1802,/76561198079504225,840.191000,1214.739624,374.548624,0
1377,/76561199061127213,1336.180000,1708.275635,372.095635,0
861,/76561198250018150,2780.350000,3150.041504,369.691504,0
472,/76561198841978464,4679.790000,5048.325195,368.535195,0
1394,/76561198058889323,1318.370000,1686.701660,368.331660,0
1722,/76561198032562714,907.743000,1275.349854,367.606854,0
1372,/76561199004489997,1340.470000,1707.517578,367.047578,0
275,/76561198052254791,6534.090000,6898.808594,364.718594,0
971,/76561198316887327,2338.590000,2700.874023,362.284023,0
1470,/76561198083467645,1210.330000,1571.440918,361.110918,0
1595,/1932026866809092,1039.260000,1400.174927,360.914927,0
1006,/76561198451730599,2241.340000,2599.673828,358.333828,0
1584,/76561198288306773,1050.890000,1402.919067,352.029067,0
1729,/76561198882441999,902.159000,1252.055664,349.896664,0
1159,/76561197972027756,1791.100000,2140.257080,349.157080,0
974,/76561198159217846,2332.700000,2679.039062,346.339063,0
1752,/76561198044754305,878.032000,1223.733032,345.701032,0
1347,/3206020552767568,1380.230000,1722.733521,342.503521,0
1901,/76561198267247370,766.968000,1105.057129,338.089129,0
1892,/76561197993179894,775.903000,1113.807861,337.904861,0
1906,/76561197992558163,761.660000,1097.276245,335.616245,0
459,/76561199154490727,4758.730000,5094.279785,335.549785,0
1126,/76561198017535408,1897.690000,2231.793945,334.103945,0
1695,/76561199091709822,929.374000,1262.298096,332.924096,0
328,/76561198154170685,5911.580000,6243.481934,331.901934,0
884,/76561198355940396,2681.390000,3011.083496,329.693496,0
682,/76561198223080452,3492.910000,3820.052490,327.142490,0
1566,/3060556570695999,1076.950000,1404.028687,327.078687,0
902,/76561198261345337,2604.440000,2931.464355,327.024355,0
1557,/76561198139630701,1088.550000,1414.214355,325.664355,0
967,/76561198093902301,2344.230000,2666.402832,322.172832,0
576,/76561198024990597,4070.280000,4391.097168,320.817168,0
1291,/76561198031683864,1486.750000,1806.114380,319.364380,0
1234,/76561198044041098,1586.810000,1905.999878,319.189878,0
802,/76561198095027549,2966.360000,3283.574463,317.214463,0
1101,/76561198071409675,1942.050000,2259.052246,317.002246,0
614,/76561198224389288,3900.440000,4214.338379,313.898379,0
363,/76561198959023371,5598.280000,5912.071289,313.791289,0
759,/1919801488094768,3086.550000,3399.660400,313.110400,0
385,/76561198218729584,5466.040000,5777.575195,311.535195,0
1270,/76561197968664644,1532.090000,1842.739502,310.649502,0
1967,/76561198032220350,720.553000,1026.635620,306.082620,0
1431,/76561198193433949,1270.820000,1574.652344,303.832344,0
1665,/76561198095384169,960.485000,1264.280762,303.795762,0
1371,/76561197960977115,1340.620000,1644.410522,303.790522,0
1453,/76561198163462266,1230.050000,1533.482300,303.432300,0
1924,/76561198079129146,750.600000,1051.538818,300.938818,0
1208,/76561198144089501,1651.390000,1951.497314,300.107314,0
1931,/76561198093474270,743.806000,1043.453979,299.647979,0
1079,/76561199185984096,2023.450000,2322.181885,298.731885,0
1628,/76561198094340347,1001.520000,1300.124146,298.604146,0
938,/76561199230503475,2437.210000,2735.502930,298.292930,0
1279,/76561198080900787,1503.960000,1797.670044,293.710044,0
1540,/76561198158359366,1109.940000,1402.357056,292.417056,0
1396,/76561197988781545,1315.560000,1607.839722,292.279722,0
1962,/76561197964016617,725.586000,1016.891724,291.305724,0
1182,/76561198024299354,1704.770000,1994.603638,289.833638,0
1298,/76561198041880868,1459.010000,1748.646851,289.636851,0
822,/2269366693118907,2920.430000,3208.188965,287.758965,0
1696,/76561198153412887,928.560000,1216.257935,287.697935,0
1717,/76561197987241737,913.134000,1199.988770,286.854770,0
1029,/76561198180360395,2171.680000,2457.932129,286.252129,0
968,/2365806283440454,2342.280000,2628.300537,286.020537,0
1051,/76561198986969428,2096.290000,2380.209229,283.919229,0
1971,/76561198009619808,718.562000,1001.900574,283.338574,0
1265,/76561199173687926,1538.790000,1819.487549,280.697549,0
1791,/76561198057598436,847.034000,1127.190674,280.156674,0
23,/76561198274010951,12470.300000,12749.956055,279.656055,0
1092,/76561199059425844,1972.000000,2250.858643,278.858643,0
1920,/76561198296984864,753.014000,1031.425659,278.411659,0
359,/76561199106738467,5623.310000,5901.719238,278.409238,0
393,/3236893346337674,5360.200000,5638.270996,278.070996,0
1209,/76561198016311571,1649.060000,1926.644165,277.584165,0
1257,/76561198205033555,1554.330000,1831.460083,277.130083,0
1078,/76561198044518004,2026.650000,2303.518799,276.868799,0
153,/76561199052324761,8283.380000,8559.303711,275.923711,0
1242,/2483312898463041,1575.300000,1850.552246,275.252246,0
651,/76561198042550661,3683.880000,3958.501953,274.621953,0
159,/76561199091249684,8209.420000,8483.563477,274.143477,0
834,/76561198283352345,2881.790000,3154.610596,272.820596,0
1941,/76561198012690409,738.182000,1009.228760,271.046760,0
380,/76561199087341517,5476.580000,5746.612793,270.032793,0
1980,/76561198045070838,714.622000,984.220398,269.598398,0
1430,/76561198064518556,1271.160000,1539.948486,268.788486,0
1321,/76561198225292160,1412.120000,1680.524902,268.404902,0
1992,/76561198249010994,710.155000,977.226562,267.071563,0
411,/76561198271377161,5152.420000,5419.427734,267.007734,0
170,/3119219138172312,7997.490000,8264.054688,266.564688,0
1073,/76561198092597224,2044.360000,2309.718750,265.358750,0
1177,/76561198106334090,1719.900000,1984.370728,264.470728,0
1991,/76561198107222584,710.707000,974.685669,263.978669,0
1485,/76561198121116088,1189.870000,1452.984253,263.114253,0
1224,/76561198108223507,1606.990000,1870.056030,263.066030,0
1114,/76561198031434864,1914.710000,2177.366699,262.656699,0
739,/2272321926224427,3225.970000,3488.272461,262.302461,0
1317,/76561198016128443,1417.880000,1679.575806,261.695806,0
1876,/76561198187267042,789.553000,1049.698242,260.145242,0
1565,/2103463843027478,1077.260000,1336.962646,259.702646,0
1365,/76561198031602198,1354.230000,1613.711792,259.481792,0
1671,/76561199023410550,953.881000,1211.545288,257.664288,0
1561,/76561198317867238,1082.630000,1339.899414,257.269414,0
1169,/76561198278723735,1751.360000,2008.629150,257.269150,0
1968,/76561198090300617,719.805000,975.829712,256.024712,0
540,/76561198200441337,4292.850000,4548.807617,255.957617,0
696,/76561198123975871,3459.270000,3714.936768,255.666768,0
989,/76561198140725889,2287.770000,2542.131836,254.361836,0
1974,/76561197976434035,715.982000,970.079956,254.097956,0
6,/76561198321316302,14097.000000,14350.214844,253.214844,0
