,name,pp,prediction,diff,sus
4,/76561199224854657,6477.140000,13420.363281,6943.223281,1
8,/76561198280446673,6321.930000,6413.940918,92.010918,0
2,/76561198029061187,6556.370000,6586.530273,30.160273,0
9,/76561199240296725,6313.290000,6307.387695,-5.902305,0
6,/76561198093816862,6402.340000,6393.886230,-8.453770,0
1,/76561198233269488,6566.110000,6482.119629,-83.990371,0
5,/76561198401250577,6412.300000,6312.621094,-99.678906,0
3,/76561198105859621,6539.050000,6387.899414,-151.150586,0
0,/76561198357821968,6584.800000,6105.825684,-478.974316,0
7,/76561198005475869,6364.270000,5761.167480,-603.102520,0
