,name,pp,prediction,diff,sus
397,/76561199210887309,2805.080000,4546.138184,1741.058184,1
549,/76561198276053639,1857.750000,3443.157471,1585.407471,1
331,/76561198311853443,3509.220000,5058.619629,1549.399629,1
406,/76561198150356471,2757.040000,4295.677734,1538.637734,1
526,/76561198146910812,1973.620000,3410.591309,1436.971309,1
277,/76561198015543774,4116.880000,5482.746582,1365.866582,1
615,/76561198046710598,1523.660000,2874.461670,1350.801670,1
392,/5055610217847283,2840.230000,4123.064941,1282.834941,1
462,/76561198088750996,2405.870000,3575.050293,1169.180293,1
317,/76561198018103031,3651.010000,4802.900391,1151.890391,1
515,/76561198865601834,2047.950000,3156.269531,1108.319531,1
434,/76561198016692526,2545.340000,3628.568848,1083.228848,0
578,/76561199008454693,1715.810000,2749.308838,1033.498838,0
768,/76561198127229128,1012.070000,1996.342041,984.272041,0
516,/76561198331605196,2037.040000,3016.043213,979.003213,0
415,/76561198324821330,2691.060000,3625.314209,934.254209,0
330,/76561198872621077,3510.680000,4431.173340,920.493340,0
212,/76561198257235307,4998.570000,5908.479980,909.909980,0
325,/76561198124303731,3590.350000,4490.933105,900.583105,0
631,/76561198132848946,1431.690000,2317.186523,885.496523,0
328,/76561199062231605,3580.910000,4458.052246,877.142246,0
290,/2919786338039930,3976.900000,4821.250977,844.350977,0
71,/76561199036475799,8587.380000,9421.561523,834.181523,0
690,/76561198845273538,1222.850000,2051.542969,828.692969,0
495,/76561198010814827,2182.430000,2972.540283,790.110283,0
494,/76561198005566455,2186.820000,2957.086182,770.266182,0
472,/76561199029537743,2340.210000,3078.108154,737.898154,0
370,/76561198107531028,3021.120000,3747.112061,725.992061,0
133,/76561198297337972,6527.380000,7242.058105,714.678105,0
482,/3375800082446432,2242.300000,2951.638916,709.338916,0
219,/76561198196274073,4831.140000,5532.252930,701.112930,0
646,/76561199062594558,1372.040000,1978.204346,606.164346,0
522,/76561197998384790,1987.730000,2589.474854,601.744854,0
38,/76561198896648981,10279.800000,10879.849609,600.049609,0
437,/76561198151486296,2542.910000,3138.119873,595.209873,0
645,/76561198111124875,1373.420000,1968.605591,595.185591,0
248,/76561199067218120,4503.230000,5080.286133,577.056133,0
480,/76561197995951391,2267.820000,2844.798340,576.978340,0
237,/76561198284342799,4638.690000,5214.529297,575.839297,0
336,/76561198051995583,3457.670000,4026.587891,568.917891,0
619,/76561198000724810,1507.240000,2073.305664,566.065664,0
339,/76561198040077747,3414.000000,3971.219727,557.219727,0
694,/76561198204357323,1211.090000,1764.196655,553.106655,0
607,/76561198371157110,1550.920000,2094.101562,543.181562,0
629,/76561198436137604,1435.300000,1972.519531,537.219531,0
383,/76561197997265127,2898.480000,3427.706055,529.226055,0
634,/76561199075712431,1421.200000,1947.952759,526.752759,0
663,/76561198071738594,1306.750000,1828.326660,521.576660,0
301,/76561198831878290,3840.820000,4359.933105,519.113105,0
688,/76561197962923108,1225.830000,1740.231323,514.401323,0
784,/76561198071825740,985.469000,1494.287476,508.818476,0
795,/76561198866033078,960.779000,1456.267700,495.488700,0
369,/76561198293716372,3033.090000,3519.479980,486.389980,0
724,/76561198166834446,1103.200000,1582.581543,479.381543,0
602,/76561198324640436,1562.190000,2036.278564,474.088564,0
660,/76561198315932793,1309.350000,1782.274536,472.924536,0
661,/76561198020445587,1308.120000,1778.131104,470.011104,0
618,/76561198103026479,1510.610000,1975.650391,465.040391,0
598,/76561198007072748,1593.010000,2044.495361,451.485361,0
409,/76561198044615597,2725.760000,3174.605469,448.845469,0
111,/76561198828442461,7087.740000,7536.105469,448.365469,0
281,/76561198019054100,4058.020000,4502.819336,444.799336,0
639,/76561198082102066,1396.920000,1839.717773,442.797773,0
771,/76561198145464330,1009.210000,1447.651978,438.441978,0
276,/76561198882097503,4119.400000,4557.202148,437.802148,0
504,/5839331356093170,2118.180000,2554.047119,435.867119,0
799,/76561198025344768,954.683000,1390.018433,435.335433,0
511,/76561197999193365,2079.340000,2514.456787,435.116787,0
591,/76561198376101948,1641.920000,2070.498779,428.578779,0
730,/76561198350346002,1087.170000,1510.200317,423.030317,0
550,/76561198031181099,1855.770000,2278.644287,422.874287,0
792,/76561197991026236,971.363000,1393.185181,421.822181,0
