,name,pp,prediction,diff,sus
257,/76561199021649327,6764.740000,11009.744141,4245.004141,1
233,/76561198421741471,6968.080000,9857.267578,2889.187578,1
449,/76561199303125359,5068.020000,7917.044922,2849.024922,1
1239,/76561198089180774,1753.350000,3228.922607,1475.572607,1
710,/76561198095917986,3681.470000,5028.665527,1347.195527,1
848,/76561199208391565,2999.040000,4264.361328,1265.321328,1
1456,/3075310802591378,1235.440000,2490.320312,1254.880312,1
576,/76561198448239348,4304.140000,5517.676270,1213.536270,1
1095,/76561198410897385,2191.590000,3389.709961,1198.119961,1
1351,/76561198042346854,1449.400000,2619.196777,1169.796777,1
902,/76561198311538749,2810.500000,3921.028809,1110.528809,0
1244,/76561198117332692,1740.640000,2770.518799,1029.878799,0
1272,/76561199021677229,1653.900000,2671.767090,1017.867090,0
609,/76561198434263822,4120.160000,5129.666504,1009.506504,0
1192,/76561198411020197,1904.860000,2873.395264,968.535264,0
730,/76561199077688090,3550.020000,4489.602051,939.582051,0
1131,/76561198143165468,2096.810000,3032.487549,935.677549,0
1226,/76561198353610097,1797.150000,2731.955078,934.805078,0
856,/76561199002628651,2978.570000,3877.285889,898.715889,0
750,/76561198274047618,3463.770000,4332.283691,868.513691,0
1346,/76561199260951975,1455.370000,2316.354492,860.984492,0
1189,/76561198027997861,1908.590000,2762.441406,853.851406,0
1114,/76561198003404226,2135.120000,2968.838135,833.718135,0
879,/76561198949900959,2904.300000,3721.284912,816.984912,0
1349,/76561198080725116,1450.620000,2265.576172,814.956172,0
911,/76561198201277628,2790.270000,3599.197021,808.927021,0
1355,/76561198192627275,1441.440000,2218.277832,776.837832,0
1345,/76561198317974645,1459.260000,2232.816895,773.556895,0
1164,/76561198925843132,1983.180000,2752.395264,769.215264,0
1669,/76561198866733232,946.551000,1705.314209,758.763209,0
1363,/76561198015450634,1427.580000,2173.739990,746.159990,0
1120,/76561198975653272,2116.010000,2818.969727,702.959727,0
849,/76561199012315782,2998.150000,3698.294434,700.144434,0
1059,/76561198040383437,2314.690000,2988.457031,673.767031,0
1198,/76561199027450426,1890.150000,2560.559082,670.409082,0
1486,/76561198286888865,1187.370000,1826.411621,639.041621,0
1052,/76561198442527200,2343.220000,2976.348389,633.128389,0
1177,/76561198985006829,1929.900000,2557.410889,627.510889,0
1340,/76561198111782932,1473.160000,2095.589844,622.429844,0
1487,/76561198050335016,1186.940000,1806.129517,619.189517,0
1481,/76561198973004552,1195.550000,1814.400757,618.850757,0
1570,/76561199125471667,1062.140000,1667.315063,605.175063,0
1492,/76561198995391607,1182.330000,1787.293457,604.963457,0
143,/76561198997467045,8044.440000,8645.536133,601.096133,0
823,/76561198942135157,3072.260000,3670.041504,597.781504,0
744,/76561199258742863,3480.560000,4075.960938,595.400938,0
460,/76561199225561965,5040.060000,5630.042969,589.982969,0
1468,/76561198087744203,1212.180000,1798.922241,586.742241,0
1202,/76561198176956213,1886.350000,2462.227783,575.877783,0
1336,/76561198874674534,1491.770000,2062.002686,570.232686,0
1465,/76561199116439465,1219.950000,1789.544067,569.594067,0
1645,/76561198205400704,974.572000,1541.282227,566.710227,0
985,/2893906734071233,2601.380000,3161.906006,560.526006,0
1583,/76561198384097960,1047.380000,1602.876343,555.496343,0
1277,/76561198075824287,1630.810000,2185.939453,555.129453,0
962,/76561198317297826,2650.810000,3201.612793,550.802793,0
1741,/76561198996132794,860.267000,1400.637939,540.370939,0
1065,/2263700450366092,2295.070000,2832.871094,537.801094,0
1439,/76561198834152899,1260.230000,1790.777588,530.547588,0
