,name,pp,prediction,diff
82,/76561199086770784,4891.910000,7061.152832,2169.242832
63,/76561198213511908,5890.790000,7496.263184,1605.473184
105,/76561199174553660,4203.440000,5762.501465,1559.061465
61,/76561198288980872,6184.180000,7715.417969,1531.237969
152,/76561198862765391,2796.950000,4295.593262,1498.643262
136,/76561198104067856,3222.610000,4631.591309,1408.981309
249,/76561198295521137,1390.530000,2727.764160,1337.234160
182,/76561198206592639,2348.700000,3477.454834,1128.754834
189,/76561197960376132,2215.980000,3335.320312,1119.340312
260,/76561198204696125,1320.130000,2243.827881,923.697881
144,/76561199022121596,2926.000000,3837.186523,911.186523
83,/76561198137084972,4877.010000,5737.729004,860.719004
203,/76561198828320878,1940.730000,2724.059326,783.329326
117,/76561198423978645,3743.510000,4495.765625,752.255625
171,/76561199164128417,2495.360000,3242.896240,747.536240
50,/76561199223548483,7111.110000,7818.279785,707.169785
225,/76561199096398609,1640.570000,2330.447510,689.877510
165,/76561198851314231,2583.310000,3272.200195,688.890195
263,/76561198443950894,1302.710000,1985.321045,682.611045
177,/76561198442357416,2427.340000,2998.646484,571.306484
247,/76561198856258062,1400.150000,1958.866577,558.716577
157,/76561198099283249,2704.140000,3261.726807,557.586807
195,/76561198074465714,2164.290000,2717.755127,553.465127
142,/76561198309625661,2947.800000,3496.320801,548.520801
484,/76561198314217355,559.656000,1094.472534,534.816534
374,/76561198236881010,837.061000,1360.511108,523.450108
212,/76561198364333900,1789.750000,2307.883301,518.133301
265,/76561198835998037,1277.750000,1790.155762,512.405762
237,/76561198211325547,1510.960000,2006.421753,495.461753
487,/76561198992094384,552.881000,1040.155029,487.274029
208,/76561198042041359,1862.890000,2346.880371,483.990371
485,/76561198139216414,556.857000,1023.910034,467.053034
496,/76561198097901992,530.296000,989.707336,459.411336
498,/76561198140636085,524.341000,982.980591,458.639591
282,/76561198189767093,1194.520000,1643.822510,449.302510
119,/76561198134132169,3672.920000,4109.412598,436.492598
483,/76561198323142359,559.941000,989.614136,429.673136
492,/76561198046759435,539.370000,960.998596,421.628596
328,/76561198112541744,1024.130000,1443.388184,419.258184
199,/76561198796088067,2030.240000,2449.426758,419.186758
491,/76561198438940893,540.229000,957.980408,417.751408
474,/76561198824529757,584.839000,1002.229919,417.390919
488,/76561198373618334,552.844000,965.489380,412.645380
497,/76561198818433585,527.179000,939.503052,412.324052
