,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,78,14088,✿VZN✿ Johadesu,0.9551206681932289,509.31,32,0.959569441979407,509.261,32,0.9446163699291963,507.38,35,0.9581475384906798,505.37,27,0.956624510516862,503.866,36,0.9568564525155223,503.023,26,0.9543016483072936,502.435,24,0.9547404274707064,501.092,29,0.9554638111211456,500.326,35,0.9560394661749105,499.841,50,0.9551480334698953,0.9286834801548416,11.334999999999999
1,108,13753.9,Rise',0.9551995733857008,522.636,20,0.9533425034387896,513.988,21,0.9559870346477012,511.98,20,0.9574379643924674,508.841,32,0.9449660131181359,508.48,33,0.9559644443267786,499.658,21,0.9424120775433179,498.436,51,0.9643330051386245,496.771,25,0.9434570952272484,493.618,58,0.9511801137960357,493.433,39,0.95242798250148,0.8944054104792607,11.597
2,152,13379.3,✿VZN✿ BBoSom,0.9631639524693208,506.597,43,0.9541245661456743,493.322,41,0.9560287169417684,492.61,37,0.9655762624407885,490.055,30,0.957816870170816,486.447,57,0.9560290139337,483.655,83,0.9534385149790261,482.666,77,0.9666314921540899,480.933,41,0.9501868718537334,480.151,74,0.9609409985053035,479.241,33,0.9583937259594221,0.9174269238921022,10.545999999999998
3,213,12953.4,Ganada0,0.9555768401649184,497.014,48,0.9575323547600508,477.038,56,0.9547917958611819,474.417,66,0.9555853814512755,473.95,84,0.9508345515838399,473.912,98,0.9452125923315874,473.26,92,0.9468695189203531,473.146,99,0.9540258964992823,473.14,108,0.9497613211198555,473.102,80,0.9464329325899417,471.471,80,0.9516623185282285,0.8607685598594316,11.068000000000001
4,302,12561.7,MaNaB,0.960371907069721,457.913,97,0.9508518739988661,456.314,105,0.9631684403450235,456.063,65,0.9512250198411607,452.975,140,0.9619684345804513,451.931,43,0.9506777126434645,450.704,127,0.9564244954527095,449.994,107,0.9553923327429583,449.675,97,0.948370088295602,449.444,106,0.9433639776718377,448.042,236,0.9541814282641795,0.9396552216895564,10.233
5,502,11744.6,nint1749,0.9196137168858298,436.893,272,0.929123495727401,429.087,209,0.9303699539839857,426.61,60,0.9325126915780225,422.815,270,0.9276871061793062,422.277,260,0.9229592319242185,421.942,160,0.92910726244402,421.631,182,0.9160792361017321,419.948,238,0.9230918798642052,419.048,154,0.9266995875256924,418.061,173,0.9257244162214414,0.8940281003995623,11.658000000000001
6,504,11740.7,Batgan,0.9381597400057735,430.376,175,0.9356869653296928,427.555,361,0.9309985835833957,426.398,168,0.9365903840120177,422.502,348,0.9364398092260197,420.959,223,0.9380745117141466,419.983,274,0.9352844331207562,418.438,237,0.9462319046121529,417.791,211,0.929750694320378,416.472,327,0.935691230419439,415.893,234,0.9362908256343772,0.909054563636585,10.891000000000002
7,615,11408.6,ziganada0,0.942173315166257,451.531,185,0.9411656730656984,414.768,268,0.9266614682763751,412.959,179,0.9472800357725039,412.194,43,0.940512591045815,410.669,82,0.9293698996655518,410.375,218,0.9438519914938809,408.442,45,0.9438580865434573,408.052,229,0.9342839512349694,407.118,199,0.9214272790970786,405.726,269,0.9370584291361588,0.9217252465411276,10.649
8,632,11346,Canis,0.972543248310751,435.08,32,0.967330826416206,423.814,23,0.9621329736277993,423.449,59,0.964313738595729,423.342,24,0.961208980729704,420.389,90,0.9660527704318759,419.283,78,0.9672691663408457,414.999,55,0.9674303870712321,412.981,57,0.9627717706072251,411.591,63,0.9576940023978112,410.793,51,0.9648747864529179,0.9481799895622509,8.312
9,646,11318.2,SieR,0.9492056417918007,420.807,79,0.9456222048042787,417.457,81,0.9418544105820151,416.578,111,0.9284158898773508,414.804,247,0.9206354059104479,412.643,163,0.9258823072487669,411.106,184,0.9323417308187053,410.65,269,0.916822832063455,408.188,248,0.9165359528857797,406.745,301,0.9386312675566162,406.051,86,0.9315947643539216,0.915254326215223,10.963
10,926,10730.5,Clang,0.9326442399995849,418.609,148,0.9444291413615227,411.539,186,0.937107312183057,409.796,116,0.9396010985254551,401.66,273,0.9262821082143741,395.163,347,0.937789241660127,389.577,93,0.9266505851871706,387.959,227,0.9390634906258492,387.795,463,0.9153832835715422,387.478,277,0.9367874560117543,385.321,129,0.9335737957340436,0.9044640480040549,10.434
11,946,10688.8,Milk,0.9310425613119571,406.257,286,0.9432666488841469,404.932,161,0.9244805972717706,403.193,248,0.9409462623135805,397.066,45,0.9344724460915196,388.812,419,0.93317122565319,384.993,520,0.9338987968393271,384.41,233,0.9485731598344781,381.207,224,0.9420742178750093,381.055,172,0.9319979734025217,379.599,416,0.9363923889477501,0.9053440324434381,10.103
12,1021,10531.1,LemoNade,0.9256249911316429,403.479,153,0.9438929681486294,400.838,96,0.9507249200533684,397.891,79,0.9299682056247096,392.383,220,0.9269831208451049,388.702,302,0.9418410658975074,387.082,178,0.9220330959339227,386.541,280,0.9415997982422124,382.316,164,0.9367639404559492,381.845,191,0.9129506638469539,381.592,345,0.9332382770180001,0.9176514859332379,10.269
13,1100,10377.9,Amylo,0.9317906689873097,402.292,212,0.9420639403397519,399.481,385,0.9073210262194638,377.447,190,0.9191501417440127,377.385,283,0.9285721626493518,375.246,520,0.9077727885181301,371.48,360,0.9160102301790282,370.584,310,0.935384055805978,369.771,299,0.9304047803585269,368.787,462,0.9269114718970953,368.401,503,0.9245381266698649,0.8950329056666082,10.466
14,1175,10211.1,Pencunia,0.9446296145080951,417.757,96,0.9562679396924193,408.265,17,0.9392302993280391,404.227,221,0.9412144740366402,401.332,272,0.941321081029729,393.619,191,0.9480429905147729,383.314,38,0.9458928527088336,382.007,139,0.9415022123821983,379.682,187,0.9421910671551705,376.519,249,0.9547318116499014,374.465,66,0.9455024343005801,0.9074596833966448,9.54
15,1230,10116.5,Twitter_i_Bu_DaYo,0.9343304027857284,417.183,347,0.9311195107953534,407.576,285,0.9340917883168458,406.683,414,0.9270653163111002,398.415,315,0.9284362087659832,396.751,308,0.9270217096967087,393.689,225,0.9212621964929838,391.75,448,0.9036803512082583,390.973,219,0.9162064143921962,381.663,666,0.9207489422990368,381.485,507,0.9243962841064196,0.8114871769971655,10.983
