,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,56,14482.5,/76561198377562021,0.9663152842597846,530.638,21,0.9580973432713672,529.074,21,0.959071289018129,528.119,12,0.955543617198644,524.714,18,0.956845469309622,524.666,11,0.9622108200558106,523.223,29,0.959490310591983,518.591,26,0.9568846458057864,518.127,12,0.9480919241871602,516.233,32,0.9572249062630523,516.171,22,0.9579775609961338,0.9293882180701789,11.371
1,81,14057.8,/76561198813747810,0.9604394394371432,527.816,21,0.9663615351259314,517.362,16,0.9603665076883497,512.634,13,0.9602901393370004,509.246,44,0.9548214633997101,508.668,37,0.9542852448881213,508.137,33,0.9557155834701994,504.107,28,0.9576489078251047,503.28,20,0.9562125537265832,502.693,24,0.9547481475038416,502.011,30,0.9580889522401985,0.9360676461735845,11.086
2,95,13897.3,/76561198441139809,0.9563419978813479,518,28,0.9532916659570724,516.346,26,0.9586158010324742,512.348,21,0.9567915140198064,504.887,35,0.9641555932248874,503.043,10,0.9536946711868118,501.329,52,0.9632505781007801,496.878,20,0.9616996983319347,495.933,20,0.9548729168071487,494.659,34,0.9627630811169561,494.046,28,0.958547751765922,0.9232384418981954,10.898000000000001
3,181,13161.6,/76561198286832326,0.9383428998043264,488.079,78,0.9508596537839243,478.703,83,0.9428733087492722,472.872,61,0.9336418357985187,472.617,113,0.9412523174451288,471.259,100,0.9415149039906212,471.243,90,0.9487147213105469,470.127,99,0.9459587259584796,470.033,69,0.942112029751967,469.412,140,0.9446748498302429,468.835,61,0.9429945246423028,0.891989978378315,11.734
4,313,12525.1,/76561198365120956,0.930596492798377,463.87,132,0.9408686568181044,457.775,81,0.9343682680221264,451.351,165,0.9415645428410973,450.601,177,0.9374951063187212,448.601,213,0.9388350234213843,448.215,76,0.9232922313304873,446.435,239,0.9348476337787321,446.133,75,0.9383864703569883,445.855,111,0.944688392881694,444.411,215,0.9364942818567712,0.8935165280845924,11.620000000000001
5,389,12220.8,/76561198405777688,0.9352417299315835,442.614,75,0.9490086221742575,442.495,162,0.945186417412736,442.102,126,0.9455384827396127,440.604,208,0.9433033018567676,439.383,160,0.942613259300811,438.293,238,0.9334043154030394,437.681,149,0.9404226268678708,437.425,151,0.9361991413882657,437.385,118,0.9380613380058929,435.605,121,0.9408979235080835,0.8713646719527365,11.033999999999999
6,442,11982.5,/76561199074849863,0.9448074054603552,451.134,164,0.9449126382869001,449.928,117,0.9432296587214828,442.413,55,0.944480803857788,437.324,177,0.940425951962351,436.641,133,0.9418594966675857,436.219,265,0.9483759336338905,436.218,164,0.9342401581829813,432.257,301,0.9350703709517083,431.739,183,0.9380006890964455,429.971,181,0.9415403106821489,0.904821563652763,10.964
7,514,11717.7,/76561198146815165,0.9523563847603621,443.454,48,0.939813919627932,442.1,165,0.9369506527108666,435.463,114,0.9494993259099117,433.309,82,0.939677302424085,432.659,75,0.9502305091691425,427.174,110,0.924853694313319,426.53,223,0.9544232319186705,424.814,36,0.9331919051753261,420.011,109,0.9282171185245803,419.868,204,0.9409214044534198,0.9200232517071322,10.793999999999999
8,585,11514.1,/76561198284551879,0.9360477245163075,444.761,71,0.9358113119900501,432.508,124,0.9495728162134869,432.135,61,0.9490895324064108,429.308,71,0.9345676605057361,428.132,244,0.9496309412338019,425.248,57,0.9576658374269154,424.066,53,0.9490608143321024,423.79,122,0.9265867901654766,421.183,320,0.9446272343364054,418.048,166,0.9432660663126693,0.9145915642853262,10.571000000000002
9,769,11038,/76561198177786679,0.9358881586528087,418.412,68,0.9399340912236746,416.69,98,0.9442327901832428,404.939,348,0.9411015489104488,403.437,64,0.9409166428612238,402.964,282,0.9417252600693519,401.029,187,0.9362588392319514,396.11,163,0.9418940717556804,395.212,134,0.934776221221234,393.749,86,0.9384259923927879,392.224,372,0.9395153616502403,0.9043464349143033,10.193000000000001
